triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,17.70703125
0,PV,is,4.6875
0,PV,giving,9.8046875
0,PV,medicine,10.59375
0,PV,to,1.6904296875
0,PV,the,1.8935546875
0,PV,old,8.703125
0,PV,woman.,4.193359375
0,IV,The,0.0
0,IV,doctor,17.70703125
0,IV,is,4.6875
0,IV,welding,19.505859375
0,IV,medicine,14.109375
0,IV,to,3.06640625
0,IV,the,1.578125
0,IV,old,9.3125
0,IV,woman.,7.93359375
0,IO,The,0.0
0,IO,doctor,17.70703125
0,IO,is,4.6875
0,IO,giving,9.8046875
0,IO,fire,15.828125
0,IO,to,4.23828125
0,IO,the,1.28515625
0,IO,old,8.765625
0,IO,woman.,7.146484375
1,PV,A,0.0
1,PV,person,16.4921875
1,PV,is,5.00390625
1,PV,giving,11.6796875
1,PV,bread,14.1484375
1,PV,to,0.92431640625
1,PV,a,2.05078125
1,PV,toddler.,14.892578125
1,IV,A,0.0
1,IV,toddler,23.5078125
1,IV,is,3.989334106445313
1,IV,riding,8.0703125
1,IV,a,1.9833984375
1,IV,bread.,26.203125
1,IO,A,0.0
1,IO,person,16.4921875
1,IO,is,5.00390625
1,IO,giving,11.6796875
1,IO,a,3.15625
1,IO,building,12.546875
1,IO,to,3.966796875
1,IO,a,2.140625
1,IO,toddler.,16.421875
2,PV,A,0.0
2,PV,man,15.8203125
2,PV,is,4.3515625
2,PV,giving,10.46875
2,PV,a,1.8935546875
2,PV,gift,7.87890625
2,PV,to,0.99169921875
2,PV,a,1.7578125
2,PV,child.,7.5078125
2,IV,A,0.0
2,IV,man,15.8203125
2,IV,is,4.3515625
2,IV,cooking,11.8359375
2,IV,a,2.501953125
2,IV,gift,14.4375
2,IV,with,6.46875
2,IV,a,2.07421875
2,IV,child.,11.150390625
2,IO,A,0.0
2,IO,man,15.8203125
2,IO,is,4.3515625
2,IO,giving,10.46875
2,IO,a,1.8935546875
2,IO,bed,11.7890625
2,IO,to,1.8935546875
2,IO,a,0.74365234375
2,IO,child.,9.671875
3,PV,A,0.0
3,PV,woman,15.7890625
3,PV,is,4.328125
3,PV,giving,8.5234375
3,PV,food,11.0
3,PV,to,0.315673828125
3,PV,other,9.515625
3,PV,people.,4.373046875
3,IV,A,0.0
3,IV,woman,15.7890625
3,IV,is,4.328125
3,IV,ironing,16.046630859375
3,IV,the,5.1640625
3,IV,food.,15.0
3,IO,A,0.0
3,IO,woman,15.7890625
3,IO,is,4.328125
3,IO,giving,8.5234375
3,IO,stones,20.4375
3,IO,to,0.67626953125
3,IO,other,8.4765625
3,IO,people.,7.16796875
4,PV,A,0.0
4,PV,person,16.4921875
4,PV,is,5.00390625
4,PV,giving,11.6796875
4,PV,money,6.60546875
4,PV,to,0.72119140625
4,PV,another,6.0859375
4,PV,person.,4.26123046875
4,IV,A,0.0
4,IV,person,16.4921875
4,IV,is,5.00390625
4,IV,eating,11.9375
4,IV,money.,15.494140625
4,IO,A,0.0
4,IO,person,16.4921875
4,IO,is,5.00390625
4,IO,giving,11.6796875
4,IO,molten,18.197509765625
4,IO,lava,3.990234375
4,IO,to,1.6455078125
4,IO,another,3.515625
